uriProposicao,tema
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416896,Administração Pública
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416896,Direitos Humanos e Minorias
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416903,Cidades e Desenvolvimento Urbano
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416903,"Indústria, Comércio e Serviços"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416903,Meio Ambiente e Desenvolvimento Sustentável
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416906,Meio Ambiente e Desenvolvimento Sustentável
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416907,Meio Ambiente e Desenvolvimento Sustentável
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417083,Administração Pública
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417083,Saúde
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417083,Trabalho e Emprego
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417094,Direitos Humanos e Minorias
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417094,Previdência e Assistência Social
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417094,"Viação, Transporte e Mobilidade"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416908,Direito Penal e Processual Penal
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416908,Direitos Humanos e Minorias
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417100,Direito Civil e Processual Civil
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417101,Direitos Humanos e Minorias
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417101,Esporte e Lazer
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417103,Defesa e Segurança
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417103,Direitos Humanos e Minorias
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417104,Administração Pública
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417104,Saúde
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417118,Educação
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417118,Saúde
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416925,"Energia, Recursos Hídricos e Minerais"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416929,"Viação, Transporte e Mobilidade"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416937,Administração Pública
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416937,"Política, Partidos e Eleições"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417122,Direito Civil e Processual Civil
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417122,Direito e Defesa do Consumidor
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417122,Economia
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417015,Direitos Humanos e Minorias
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416941,Defesa e Segurança
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416941,Direito Penal e Processual Penal
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417017,Defesa e Segurança
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417017,"Viação, Transporte e Mobilidade"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416944,Direito Penal e Processual Penal
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416945,Direitos Humanos e Minorias
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417194,Cidades e Desenvolvimento Urbano
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417194,Direitos Humanos e Minorias
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417194,"Viação, Transporte e Mobilidade"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417203,Administração Pública
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417203,Saúde
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417217,Administração Pública
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417217,Direitos Humanos e Minorias
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417325,Administração Pública
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417325,Economia
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417325,"Indústria, Comércio e Serviços"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417490,Administração Pública
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417490,Saúde
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417496,Administração Pública
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417496,Meio Ambiente e Desenvolvimento Sustentável
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417515,Educação
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417515,Saúde
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417515,"Viação, Transporte e Mobilidade"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417517,Defesa e Segurança
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417517,Educação
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417517,"Viação, Transporte e Mobilidade"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417530,Administração Pública
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417530,Economia
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417530,Meio Ambiente e Desenvolvimento Sustentável
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417677,Educação
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417677,Saúde
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417720,Administração Pública
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417720,Saúde
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417745,Administração Pública
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417745,Saúde
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417748,Economia
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417748,Meio Ambiente e Desenvolvimento Sustentável
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417756,"Agricultura, Pecuária, Pesca e Extrativismo"
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417756,Economia
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417784,Direitos Humanos e Minorias
https://dadosabertos.camara.leg.br/api/v2/proposicoes/2417784,Saúde
